,Timestamp,Ping (ms)
297,Sat Feb 11 10:42:25 2023,30.745983123779297
298,Sat Feb 11 10:42:26 2023,24.37877655029297
299,Sat Feb 11 10:42:27 2023,23.998022079467773
300,Sat Feb 11 10:42:28 2023,270.4949378967285
301,Sat Feb 11 10:42:29 2023,45.441389083862305
302,Sat Feb 11 10:42:30 2023,23.802757263183594
303,Sat Feb 11 10:42:31 2023,24.437904357910156
304,Sat Feb 11 10:42:32 2023,10.564804077148438
305,Sat Feb 11 10:42:33 2023,25.55537223815918
306,Sat Feb 11 10:42:34 2023,10.000228881835938
307,Sat Feb 11 10:42:36 2023,10.457038879394531
308,Sat Feb 11 10:42:37 2023,9.97781753540039
309,Sat Feb 11 10:42:38 2023,9.998321533203125
310,Sat Feb 11 10:42:39 2023,31.41498565673828
311,Sat Feb 11 10:42:40 2023,10.462760925292969
312,Sat Feb 11 10:42:41 2023,25.16651153564453
313,Sat Feb 11 10:42:42 2023,31.000375747680664
314,Sat Feb 11 10:42:43 2023,23.552656173706055
315,Sat Feb 11 10:42:44 2023,663.2874011993408
316,Sat Feb 11 10:42:45 2023,24.29986000061035
317,Sat Feb 11 10:42:46 2023,25.444507598876953
318,Sat Feb 11 10:42:47 2023,24.089336395263672
319,Sat Feb 11 10:42:49 2023,139.6651268005371
320,Sat Feb 11 10:42:50 2023,23.756980895996094
321,Sat Feb 11 10:42:51 2023,12.006044387817383
322,Sat Feb 11 10:42:52 2023,9.958982467651367
323,Sat Feb 11 10:42:53 2023,9.875297546386719
324,Sat Feb 11 10:42:54 2023,30.803918838500977
325,Sat Feb 11 10:42:55 2023,30.99799156188965
326,Sat Feb 11 10:42:56 2023,31.768798828125
327,Sat Feb 11 10:42:57 2023,32.01556205749512
328,Sat Feb 11 10:42:58 2023,10.030031204223633
329,Sat Feb 11 10:42:59 2023,23.02074432373047
330,Sat Feb 11 10:43:00 2023,23.021221160888672
331,Sat Feb 11 10:43:01 2023,31.588315963745117
332,Sat Feb 11 10:43:02 2023,10.895967483520508
333,Sat Feb 11 10:43:03 2023,24.172306060791016
334,Sat Feb 11 10:43:04 2023,11.010169982910156
335,Sat Feb 11 10:43:05 2023,31.17084503173828
336,Sat Feb 11 10:43:06 2023,37.98079490661621
337,Sat Feb 11 10:43:07 2023,9.998559951782227
338,Sat Feb 11 10:43:08 2023,24.796724319458008
339,Sat Feb 11 10:43:09 2023,25.022268295288086
340,Sat Feb 11 10:43:11 2023,400.0101089477539
341,Sat Feb 11 10:43:12 2023,23.91219139099121
